index,Conveyor_Position1History
0,6
1,-14
2,-7
3,0
4,30
5,26
6,29
7,2
8,8
9,38
10,34
11,59
12,10
13,15
14,2
15,20
16,1
17,-12
18,16
19,27
20,38
21,-3
22,-3
23,-11
24,48
25,-65
26,-7
27,-25
28,-15
29,29
30,19
31,1
32,-12
33,16
34,17
35,3
36,13
37,-6
38,8
39,7
40,-14
41,38
42,11
43,25
44,41
45,19
46,18
47,26
48,48
49,38
50,51
51,57
52,18
53,26
54,2
55,52
56,23
57,23
58,33
59,-3
60,4
61,16
62,34
63,12
64,7
65,-19
66,-17
67,14
68,0
69,37
70,16
71,15
72,-206
73,34
74,36
75,83
76,13
77,12
78,21
79,22
80,35
81,9
82,22
83,50
84,32
85,28
86,14
87,0
88,46
89,-38
90,3
91,22
92,-2
93,40
94,43
95,20
96,8
97,34
98,27
99,31
100,52
101,24
102,23
103,24
104,12
105,29
106,44
107,72
108,61
109,22
110,46
111,48
112,97
113,70
114,49
115,67
116,66
117,46
118,53
119,66
120,50
121,26
122,58
123,56
124,38
125,67
126,6
127,37
128,32
129,19
130,22
131,52
132,20
133,42
134,33
135,-1953
136,-1953
137,-1953
138,-1953
139,-1953
140,-1953
141,-1953
142,-1953
143,-1953
144,-1953
145,-1953
146,-1953
147,-1953
148,-1953
149,-1953
150,-1953
151,-1953
152,-1953
153,-1953
154,-1953
155,-1953
156,-1953
157,-1953
158,-1953
159,-1953
160,-1953
161,-1953
162,-1953
163,-1953
164,-1953
165,-1953
166,-1953
167,-1953
168,-1953
169,-1953
170,-1953
171,-1953
172,-1953
173,-1953
174,-1953
175,-1953
176,-1953
177,-1953
178,-1953
179,-1953
180,-1953
181,-1953
182,-1953
183,-1953
184,-1953
185,-1953
186,-1953
187,-1953
188,-1953
189,-1953
190,-1953
191,-1953
192,-1953
193,-1953
194,-1953
195,-1953
196,-1953
197,-1953
198,-1953
199,-1953
200,-1953
201,-1953
202,-1953
203,-1953
204,-1953
205,-1953
206,-1953
207,-1953
208,-1953
209,-1953
210,-1953
211,-1953
212,-1953
213,-1953
214,-1953
215,-1953
216,-1953
217,-1953
218,-1953
219,-1953
220,-1953
221,-1953
222,-1953
223,-1953
224,-1953
225,-1953
226,-1953
227,-1953
228,-1953
229,-1953
230,-1953
231,-1953
232,-1953
233,-1953
234,-1953
235,-1953
236,-1953
237,-1953
238,-1953
239,-1953
240,-1953
241,-1953
242,-1953
243,-1953
244,-1953
245,-1953
246,-1953
247,-1953
248,-1953
249,-1953
