index,zzzLengthHistory
0,1.569999933242798
1,0.1740000247955322
2,0.3309996128082275
3,-0.6725003719329834
4,-0.3155000209808349
5,-0.3080003261566162
6,-1.0384995937347412
7,-0.5344998836517334
8,0.502000093460083
9,-0.1620004177093505
10,0.314500093460083
11,1.7400000095367432
12,-0.3179996013641357
13,-0.4015004634857178
14,-0.6065003871917725
15,0.0715000629425048
16,-0.1725003719329834
17,-0.127500295639038
18,-0.1330001354217529
19,0.5944998264312744
20,0.6115000247955322
21,0.7430002689361572
22,3.0369999408721924
23,0.7690002918243408
24,-0.2689998149871826
25,-0.2390000820159912
26,-0.2890002727508545
27,-0.3045003414154053
28,-0.5904996395111084
29,-0.5740001201629639
30,0.1755001544952392
31,-0.7855002880096436
32,-0.5829999446868896
33,-0.6080005168914795
34,1.871500253677368
35,0.383500337600708
36,0.1305000782012939
37,-0.3600003719329834
38,-0.6669995784759521
39,-0.300499677658081
40,-0.1515004634857177
41,0.9509994983673096
42,1.2059996128082275
43,0.1230003833770752
44,-0.1345002651214599
45,2.479000329971313
46,0.4924995899200439
47,0.1934998035430908
48,-0.6845004558563232
49,-0.2855002880096435
50,-0.050499677658081
51,1.0219995975494385
52,-0.1955001354217529
53,-0.0550000667572021
54,-0.2215001583099365
55,1.87850022315979
56,1.934499979019165
57,-0.2200000286102295
58,-0.2064998149871826
59,-0.5989997386932373
60,-0.690500020980835
61,0.189500093460083
62,0.6849997043609619
63,2.5380003452301025
64,0.6029999256134033
65,0.7194998264312744
66,0.4744999408721924
67,2.861500024795532
68,-0.6304996013641357
69,-0.0185000896453857
70,-0.6894996166229248
71,0.3494999408721924
72,0.81600022315979
73,2.759999513626098
74,-0.3699996471405029
75,1.2710001468658447
76,0.1429998874664306
77,-1.6505000591278076
78,-0.3980004787445068
79,-0.9429996013641356
80,0.6980001926422119
81,-0.5875003337860107
82,-1.2099997997283936
83,0.7944996356964111
84,0.1945002079010009
85,1.1969997882843018
86,0.925999879837036
87,-0.999500036239624
88,-0.5344998836517334
89,-0.3559997081756592
90,0.7760002613067627
91,-0.1304996013641357
92,-0.175499677658081
93,-0.6050002574920654
94,-0.1679999828338623
95,-0.4090001583099365
96,0.4414999485015869
97,-0.2980000972747803
98,0.2199995517730713
99,1.4109995365142822
